ocid,releasedate,aw_value
ocds-0c46vo-0353-JUN358103,2019-06-24 00:00:00.000000,173795.0
ocds-0c46vo-0353-JUN358104,2019-06-24 00:00:00.000000,825000.0
ocds-0c46vo-0353-JUN358105,2019-06-24 00:00:00.000000,555000.0
ocds-0c46vo-0353-JUN358106,2019-06-24 00:00:00.000000,159355.11
ocds-0c46vo-0353-JUN358113,2019-06-24 00:00:00.000000,3325000.0
ocds-0c46vo-0353-JUN358116,2019-06-24 00:00:00.000000,271153.73
ocds-0c46vo-0353-JUN358118,2019-06-24 00:00:00.000000,1568080.0
ocds-0c46vo-0353-JUN358122,2019-06-24 00:00:00.000000,5009.19
ocds-0c46vo-0353-JUN358123,2019-06-24 00:00:00.000000,500000.0
ocds-0c46vo-0353-JUN358124,2019-06-24 00:00:00.000000,1391165.5
ocds-0c46vo-0353-JUN358132,2019-06-24 00:00:00.000000,1200500.0
ocds-0c46vo-0353-JUN358133,2019-06-24 00:00:00.000000,8954.94
ocds-0c46vo-0353-JUN358138,2019-06-24 00:00:00.000000,165000.0
ocds-0c46vo-0353-JUN358139,2019-06-24 00:00:00.000000,320679.0
ocds-0c46vo-0353-JUN358140,2019-06-24 00:00:00.000000,495000.0
ocds-0c46vo-0353-JUN358153,2019-06-24 00:00:00.000000,64667.2
ocds-0c46vo-0353-JUN358154,2019-06-24 00:00:00.000000,50000.0
ocds-0c46vo-0353-JUN358155,2019-06-24 00:00:00.000000,30000.0
ocds-0c46vo-0353-JUN358156,2019-06-24 00:00:00.000000,336988.8
ocds-0c46vo-0353-JUN358168,2019-06-24 00:00:00.000000,94565.0
ocds-0c46vo-0353-JUN298924,2019-06-20 00:00:00.000000,365000.0
ocds-0c46vo-0353-JUN358183,2019-06-24 00:00:00.000000,22272.0
ocds-0c46vo-0353-JUN358187,2019-06-24 00:00:00.000000,972027.0
ocds-0c46vo-0353-JUN358190,2019-06-24 00:00:00.000000,284058.0
ocds-0c46vo-0353-JUN358191,2019-06-24 00:00:00.000000,143400.0
ocds-0c46vo-0353-JUN358193,2019-06-24 00:00:00.000000,170811.59
ocds-0c46vo-0353-JUN358213,2019-06-24 00:00:00.000000,60278.0
ocds-0c46vo-0353-JUN358235,2019-06-24 00:00:00.000000,130000.0
