buyer_name_clean,ocid,level1,sic_code,sic_string,start_date,end_date,co2_pm
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-136116,,72190,Other research and experimental development on natural sciences and engineering,2020-02-01,2022-09-30,3.6895632340246913
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-141467,,68209,Other letting and operating of own or leased real estate,2020-02-01,2022-09-30,0.35266411560459876
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-141468,,71122,Engineering related scientific and technical consulting activities,2020-02-01,2022-09-30,0.28194778840740736
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-147380,,78200,Temporary employment agency activities,2020-02-01,2022-09-30,0
DEPT OF AVIATION,ocds-0c46vo-0517-115256,,52230,Service activities incidental to air transportation,2020-02-01,2025-01-31,22.738812809416757
CPD,ocds-0c46vo-0517-1168855,,29100,Manufacture of motor vehicles,2020-02-02,2024-08-04,4.141848510638298
DEPT OF AVIATION,ocds-0c46vo-0517-120366,,17290,Manufacture of other articles of paper and paperboard n.e.c.,2020-02-04,2025-02-03,5.973436184093921
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-120732,,28220,Manufacture of lifting and handling equipment,2020-02-13,2025-02-12,9.330289743036143
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-100786,,71121,Engineering design activities for industrial process and production,2020-02-14,2025-02-13,1.6657542510936472
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-109237,,79110,Travel agency activities,2020-02-14,2025-02-13,0.009994534501642935
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-120728,,23610,Manufacture of concrete products for construction purposes,2020-02-18,2025-02-17,142.02896925722447
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-126996,,43290,Other construction installation,2020-02-25,2025-02-25,0.04641252121510673
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-126322,,43110,Demolition,2020-02-28,2025-02-28,0.06862154026272578
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-126320,,43290,Other construction installation,2020-02-28,2025-02-28,0.1752664527914614
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135944,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.08515385790031814
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146603,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.07006033658748674
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148074,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.03958299671898197
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146600,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.1044647530466596
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148083,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.022870584448568397
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146602,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.057170493900318135
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148096,,69201,Accounting and auditing activities,2020-03-01,2022-09-30,0
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148072,,72190,Other research and experimental development on natural sciences and engineering,2020-03-01,2022-09-30,0.043981967605514316
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135962,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.017499117798515377
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-140841,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.09478914594273595
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135947,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.13305290296924707
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135964,,69201,Accounting and auditing activities,2020-03-01,2022-09-30,0
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-136352,,70229,Management consultancy activities other than financial management,2020-03-01,2022-09-30,0.6451049840933192
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135961,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.030513465747613995
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146609,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.08204670974443266
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148069,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.08807424816330858
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135969,,69102,Solicitors,2020-03-01,2022-09-30,0.014192309650053022
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146614,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.059264182126193
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148094,,29100,Manufacture of motor vehicles,2020-03-01,2022-09-30,0.02375018509437964
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-144840,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.09055725724708377
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148095,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.005277926427359491
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135973,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.07096154825026511
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135948,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.0887019353128314
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148070,,82990,Other business support service activities n.e.c.,2020-03-01,2022-09-30,0.13953136977200423
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148093,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.013194654792152703
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-131705,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.1612762460233298
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-142892,,43110,Demolition,2020-03-01,2023-03-01,3.888893150684931
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-144841,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.10865245205090139
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148073,,68209,Other letting and operating of own or leased real estate,2020-03-01,2022-09-30,0.09555036982396607
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146599,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.014555826308589608
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146613,,69201,Accounting and auditing activities,2020-03-01,2022-09-30,0
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135950,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.0887019353128314
