ocid,releasedate,aw_value
ocds-0c46vo-0385-c47b97fb-7e2e-4583-943a-2b61e23c65a9,2020-01-02 00:00:00.000000,98200.0
ocds-0c46vo-0385-217452e5-c9cb-4084-8087-c53a6abf5528,2020-01-02 00:00:00.000000,100000.0
ocds-0c46vo-0385-eefef4f5-0702-4178-9e42-9a7ae71a9d51,2020-01-02 00:00:00.000000,132836.0
ocds-0c46vo-0133-000107-2020,2020-01-02 00:00:00.000000,337161578.94
ocds-0c46vo-0133-000702-2020,2020-01-02 00:00:00.000000,150000.0
ocds-0c46vo-0133-000781-2020,2020-01-02 00:00:00.000000,1944091.11
ocds-0c46vo-0133-000793-2020,2020-01-02 00:00:00.000000,970394.1
ocds-0c46vo-0385-5b4140bb-2744-4cbc-9852-6a3d7a254a40,2020-01-02 00:00:00.000000,630546.05
ocds-0c46vo-0133-000725-2020,2020-01-02 00:00:00.000000,198244.8
ocds-0c46vo-0385-59c76dd9-893d-45f9-9dec-7358021d8e2b,2020-01-02 00:00:00.000000,106600.0
ocds-0c46vo-0133-000081-2020,2020-01-02 00:00:00.000000,436502.0
ocds-0c46vo-0133-000288-2020,2020-01-02 00:00:00.000000,59695.0
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,2204.5
ocds-0c46vo-0133-000372-2020,2020-01-02 00:00:00.000000,6216.9
ocds-0c46vo-0133-000598-2020,2020-01-02 00:00:00.000000,27933.0
ocds-0c46vo-0385-bb3522f3-3b4b-45f1-b11a-87e8ca8d6d1b,2020-01-02 00:00:00.000000,26000.0
ocds-0c46vo-0133-000264-2020,2020-01-02 00:00:00.000000,61323.5
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,480.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,432.0
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000640-2020,2020-01-02 00:00:00.000000,24388.0
ocds-0c46vo-0133-000719-2020,2020-01-02 00:00:00.000000,178999.96
ocds-0c46vo-0385-5ea0b632-1e6f-47ab-872b-733f1800e0eb,2020-01-02 00:00:00.000000,171000.0
ocds-0c46vo-0133-000349-2020,2020-01-02 00:00:00.000000,6600.0
ocds-0c46vo-0133-000366-2020,2020-01-02 00:00:00.000000,54146.14
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000672-2020,2020-01-02 00:00:00.000000,36355.0
ocds-0c46vo-0133-000699-2020,2020-01-02 00:00:00.000000,319090.0
ocds-0c46vo-0133-000679-2020,2020-01-02 00:00:00.000000,230000.0
ocds-0c46vo-0133-000721-2020,2020-01-02 00:00:00.000000,93795.0
ocds-0c46vo-0385-297bc53e-09af-45e2-a6ab-8565a036b286,2020-01-02 00:00:00.000000,204600.0
ocds-0c46vo-0133-000636-2020,2020-01-02 00:00:00.000000,543418.61
ocds-0c46vo-0133-000879-2020,2020-01-02 00:00:00.000000,678238.63
ocds-0c46vo-0385-b8e8b785-51e4-402a-a125-4970565969e4,2020-01-02 00:00:00.000000,59390.1
ocds-0c46vo-0133-000243-2020,2020-01-02 00:00:00.000000,1722492.0
ocds-0c46vo-0133-000272-2020,2020-01-02 00:00:00.000000,18690.73
ocds-0c46vo-0133-000386-2020,2020-01-02 00:00:00.000000,15900.0
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000676-2020,2020-01-02 00:00:00.000000,49000.0
ocds-0c46vo-0133-000959-2020,2020-01-02 00:00:00.000000,98200.0
ocds-0c46vo-0133-000081-2020,2020-01-02 00:00:00.000000,182321.1
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,9099.0
ocds-0c46vo-0133-000602-2020,2020-01-02 00:00:00.000000,385000.0
ocds-0c46vo-0133-000769-2020,2020-01-02 00:00:00.000000,1309804.1
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,12780.0
ocds-0c46vo-0133-000322-2020,2020-01-02 00:00:00.000000,112890.0
ocds-0c46vo-0133-000332-2020,2020-01-02 00:00:00.000000,72000.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,690.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,1305.0
ocds-0c46vo-0133-000620-2020,2020-01-02 00:00:00.000000,707.0
ocds-0c46vo-0133-000687-2020,2020-01-02 00:00:00.000000,579892.0
ocds-0c46vo-0133-000961-2020,2020-01-02 00:00:00.000000,2496228.0
ocds-0c46vo-0133-000103-2020,2020-01-02 00:00:00.000000,75.0
ocds-0c46vo-0385-6bdbc931-6646-49a9-9093-a1e9ff0c03d1,2020-01-02 00:00:00.000000,20000.0
ocds-0c46vo-0385-0ad2f787-15d5-43ba-8864-aeb7a77268e8,2020-01-02 00:00:00.000000,342953.33
ocds-0c46vo-0133-000107-2020,2020-01-02 00:00:00.000000,337161578.94
ocds-0c46vo-0133-000332-2020,2020-01-02 00:00:00.000000,32000.0
ocds-0c46vo-0133-000364-2020,2020-01-02 00:00:00.000000,2021418.63
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,939.0
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000950-2020,2020-01-02 00:00:00.000000,1056000.0
ocds-0c46vo-0133-000226-2020,2020-01-02 00:00:00.000000,38389.9
ocds-0c46vo-0133-000290-2020,2020-01-02 00:00:00.000000,5268.6
ocds-0c46vo-0133-000726-2020,2020-01-02 00:00:00.000000,6200000.0
ocds-0c46vo-0133-000781-2020,2020-01-02 00:00:00.000000,1729370.42
ocds-0c46vo-0385-222ee622-bffc-41f4-a8db-5e6f636edc1d,2020-01-02 00:00:00.000000,22000.0
ocds-0c46vo-0133-000375-2020,2020-01-02 00:00:00.000000,212873.4
ocds-0c46vo-0133-000696-2020,2020-01-02 00:00:00.000000,480000.0
ocds-0c46vo-0133-000757-2020,2020-01-02 00:00:00.000000,19500.0
ocds-0c46vo-0133-000774-2020,2020-01-02 00:00:00.000000,25394.2
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,56700.54
ocds-0c46vo-0133-000364-2020,2020-01-02 00:00:00.000000,1560171.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,2911.97
ocds-0c46vo-0133-000671-2020,2020-01-02 00:00:00.000000,547100.0
ocds-0c46vo-0133-000712-2020,2020-01-02 00:00:00.000000,3000000.0
ocds-0c46vo-0133-000948-2020,2020-01-02 00:00:00.000000,418488.0
ocds-0c46vo-0385-13c7a602-16a7-4ef0-82b3-ad7fc38f4a66,2020-01-02 00:00:00.000000,59390.1
ocds-0c46vo-0385-e3f1a157-12e2-4c67-b2d7-91b59945f4e1,2020-01-02 00:00:00.000000,50000.0
ocds-0c46vo-0133-000237-2020,2020-01-02 00:00:00.000000,453239.5
ocds-0c46vo-0133-000368-2020,2020-01-02 00:00:00.000000,243000.0
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0385-457c60ec-6d55-4164-a992-e67f4e498db7,2020-01-02 00:00:00.000000,40000.0
ocds-0c46vo-0133-000349-2020,2020-01-02 00:00:00.000000,4800.0
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0353-JAN321238,2020-01-02 00:00:00.000000,1984.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,3015.0
ocds-0c46vo-0385-0a7bdbc2-ed1d-4bf4-8b5e-0c4172edc641,2020-01-02 00:00:00.000000,10000.0
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,126246.17
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000662-2020,2020-01-02 00:00:00.000000,650000.0
ocds-0c46vo-0133-000710-2020,2020-01-02 00:00:00.000000,440684.46
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,322.0
ocds-0c46vo-0133-000639-2020,2020-01-02 00:00:00.000000,2184570.0
ocds-0c46vo-0133-000767-2020,2020-01-02 00:00:00.000000,826446.28
ocds-0c46vo-0133-000962-2020,2020-01-02 00:00:00.000000,608.0
ocds-0c46vo-0133-000319-2020,2020-01-02 00:00:00.000000,1380149.43
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,3400.0
ocds-0c46vo-0133-000721-2020,2020-01-02 00:00:00.000000,40315.5
ocds-0c46vo-0133-000769-2020,2020-01-02 00:00:00.000000,1309804.1
ocds-0c46vo-0385-11c1f4ab-7134-4fad-b0c3-1befabad9a61,2020-01-02 00:00:00.000000,52460.1
ocds-0c46vo-0133-000259-2020,2020-01-02 00:00:00.000000,84300.0
ocds-0c46vo-0133-000961-2020,2020-01-02 00:00:00.000000,803598.0
ocds-0c46vo-0385-0798391b-50bc-4bcb-9bee-901fdaf5ca79,2020-01-02 00:00:00.000000,20843.55
ocds-0c46vo-0133-000086-2020,2020-01-02 00:00:00.000000,10571120.4
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000693-2020,2020-01-02 00:00:00.000000,50000.0
ocds-0c46vo-0133-000717-2020,2020-01-02 00:00:00.000000,5.0
ocds-0c46vo-0385-d24a9c4f-9c86-46b0-871e-bea7d120e530,2020-01-02 00:00:00.000000,83000.0
ocds-0c46vo-0385-41acfa66-f08d-432c-a2f5-988641d5516e,2020-01-02 00:00:00.000000,51022.2
ocds-0c46vo-0133-000066-2020,2020-01-02 00:00:00.000000,1000000.0
ocds-0c46vo-0133-000288-2020,2020-01-02 00:00:00.000000,355260.0
ocds-0c46vo-0133-000911-2020,2020-01-02 00:00:00.000000,115569.0
ocds-0c46vo-0385-22a5db12-fa0f-4673-9f69-10d9611e4562,2020-01-02 00:00:00.000000,22732.8
ocds-0c46vo-0133-000288-2020,2020-01-02 00:00:00.000000,77250.0
ocds-0c46vo-0133-000670-2020,2020-01-02 00:00:00.000000,471698.0
ocds-0c46vo-0133-000759-2020,2020-01-02 00:00:00.000000,336096.0
ocds-0c46vo-0133-000781-2020,2020-01-02 00:00:00.000000,479475.0
ocds-0c46vo-0385-efdcfee5-da80-4bb8-a4df-51c462573f10,2020-01-02 00:00:00.000000,44800.0
ocds-0c46vo-0133-000330-2020,2020-01-02 00:00:00.000000,7924.0
ocds-0c46vo-0133-000383-2020,2020-01-02 00:00:00.000000,55555.55
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,3180.0
ocds-0c46vo-0385-077672f7-482f-45e1-9964-0629302a11c6,2020-01-02 00:00:00.000000,75000.0
ocds-0c46vo-0133-000287-2020,2020-01-02 00:00:00.000000,159663.86
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,1943.4
ocds-0c46vo-0133-000331-2020,2020-01-02 00:00:00.000000,81600.0
ocds-0c46vo-0133-000334-2020,2020-01-02 00:00:00.000000,177655.28
ocds-0c46vo-0133-000349-2020,2020-01-02 00:00:00.000000,23270.0
ocds-0c46vo-0133-000778-2020,2020-01-02 00:00:00.000000,25000.0
ocds-0c46vo-0385-cdb3607a-0ac6-4f9c-9c6c-98adc086e79d,2020-01-02 00:00:00.000000,50876.1
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,2396.8
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
ocds-0c46vo-0133-000637-2020,2020-01-02 00:00:00.000000,1989105.0
ocds-0c46vo-0133-000697-2020,2020-01-02 00:00:00.000000,3975.0
ocds-0c46vo-0133-000777-2020,2020-01-02 00:00:00.000000,1296000.0
ocds-0c46vo-0133-000108-2020,2020-01-02 00:00:00.000000,1.0
ocds-0c46vo-0133-000237-2020,2020-01-02 00:00:00.000000,139160.0
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,52849.8
ocds-0c46vo-0133-000343-2020,2020-01-02 00:00:00.000000,16000.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,515.2
ocds-0c46vo-0133-000659-2020,2020-01-02 00:00:00.000000,703184.76
ocds-0c46vo-0133-000713-2020,2020-01-02 00:00:00.000000,170329.5
ocds-0c46vo-0133-000726-2020,2020-01-02 00:00:00.000000,19500000.0
ocds-0c46vo-0353-JAN321234,2020-01-02 00:00:00.000000,90.0
ocds-0c46vo-0133-000093-2020,2020-01-02 00:00:00.000000,157000.0
ocds-0c46vo-0133-000272-2020,2020-01-02 00:00:00.000000,82440.0
ocds-0c46vo-0133-000332-2020,2020-01-02 00:00:00.000000,10000.0
ocds-0c46vo-0133-000611-2020,2020-01-02 00:00:00.000000,142326.0
ocds-0c46vo-0133-000961-2020,2020-01-02 00:00:00.000000,1203970.0
ocds-0c46vo-0385-f2bf06de-7708-4c4a-9d2f-b8a1c8ef58cb,2020-01-02 00:00:00.000000,140055.62
ocds-0c46vo-0133-000233-2020,2020-01-02 00:00:00.000000,1966000.0
ocds-0c46vo-0133-000331-2020,2020-01-02 00:00:00.000000,14043.88
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,1322.3
ocds-0c46vo-0133-000602-2020,2020-01-02 00:00:00.000000,385000.0
ocds-0c46vo-0133-000737-2020,2020-01-02 00:00:00.000000,206515.77
ocds-0c46vo-0133-000904-2020,2020-01-02 00:00:00.000000,1207812.0
ocds-0c46vo-0133-000330-2020,2020-01-02 00:00:00.000000,3300.0
ocds-0c46vo-0133-000366-2020,2020-01-02 00:00:00.000000,243484.65
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,288.5
ocds-0c46vo-0133-000628-2020,2020-01-02 00:00:00.000000,58750.0
ocds-0c46vo-0133-000654-2020,2020-01-02 00:00:00.000000,109470.0
ocds-0c46vo-0133-000705-2020,2020-01-02 00:00:00.000000,517200.0
ocds-0c46vo-0133-000774-2020,2020-01-02 00:00:00.000000,15330.2
ocds-0c46vo-0133-000895-2020,2020-01-02 00:00:00.000000,17727633.81
ocds-0c46vo-0385-bdb0bcf0-7b89-4c97-af1d-b4892e3f1011,2020-01-02 00:00:00.000000,22732.8
ocds-0c46vo-0133-000227-2020,2020-01-02 00:00:00.000000,9100.0
ocds-0c46vo-0133-000290-2020,2020-01-02 00:00:00.000000,6410.78
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,6396.0
ocds-0c46vo-0133-000304-2020,2020-01-02 00:00:00.000000,1148.82
ocds-0c46vo-0133-000372-2020,2020-01-02 00:00:00.000000,5981.0
ocds-0c46vo-0133-000388-2020,2020-01-02 00:00:00.000000,2585.0
ocds-0c46vo-0133-000749-2020,2020-01-02 00:00:00.000000,63050.41
ocds-0c46vo-0133-000763-2020,2020-01-02 00:00:00.000000,50000.0
ocds-0c46vo-0133-000897-2020,2020-01-02 00:00:00.000000,5793592.0
ocds-0c46vo-0133-000055-2020,2020-01-02 00:00:00.000000,46977.5
ocds-0c46vo-0133-000067-2020,2020-01-02 00:00:00.000000,27014.36
ocds-0c46vo-0133-000615-2020,2020-01-02 00:00:00.000000,365752.3
